Bill,role,alderman,billID
BB 66 Stop signs at Loughborough and Trainor,Primary,arnowitz,BB 66
BB 75 Ord. pertaining to dog training,Co-Sponsor,arnowitz,BB 75
BB 86 Ordinance pertaining to scrap metal,Co-Sponsor,arnowitz,BB 86
BB 91 Grant for Child & Adult Care Food Program,Co-Sponsor,arnowitz,BB 91
BB 175 Firemen's Retirement System,Co-Sponsor,arnowitz,BB 175
BB 189 Ord. Relating to Forest Park,Co-Sponsor,arnowitz,BB 189
BB 223 Grant agrmt. with the Missouri Foundation for Health or any other agency (Grant # 11-0226-HAC) for the ?St. Louis Healthy Corner Store Project;?,Co-Sponsor,arnowitz,BB 223
BB 260 Sheriff pay bill,Primary,arnowitz,BB 260
BB 66 Stop signs at Loughborough and Trainor,Primary,arnowitz,BB 66
BB 75 Ord. pertaining to dog training,Co-Sponsor,arnowitz,BB 75
BB 86 Ordinance pertaining to scrap metal,Co-Sponsor,arnowitz,BB 86
BB 91 Grant for Child & Adult Care Food Program,Co-Sponsor,arnowitz,BB 91
BB 175 Firemen's Retirement System,Co-Sponsor,arnowitz,BB 175
BB 189 Ord. Relating to Forest Park,Co-Sponsor,arnowitz,BB 189
BB 223 Grant agrmt. with the Missouri Foundation for Health or any other agency (Grant # 11-0226-HAC) for the ?St. Louis Healthy Corner Store Project;?,Co-Sponsor,arnowitz,BB 223
BB 260 Sheriff pay bill,Primary,arnowitz,BB 260
BB 2 Firemen's Retirement System,Co-Sponsor,arnowitz,BB 2
BB 92 An ordinance pertaining to pedestrian access to buildings.,Co-Sponsor,arnowitz,BB 92
BB 108 Ordinance relating to City Recreation Facility in O'Fallon Park,Co-Sponsor,arnowitz,BB 108
BB 108 Ordinance relating to City Recreation Facility in O'Fallon Park,Co-Sponsor,arnowitz,BB 108
BB 153 Ordinance pertaining to prostitution and loitering,Co-Sponsor,arnowitz,BB 153
BB 226 Close traffic on Primm Lane west of Stolle,Primary,arnowitz,BB 226
BB 275 Marijuana decriminalization,Co-Sponsor,arnowitz,BB 275
BB 297 City Public Works Projects,Co-Sponsor,arnowitz,BB 297
BB 34 Intergovernmental Cooperation Agreement,Co-Sponsor,arnowitz,BB 34
BB 88 City Hall restoration fund,Co-Sponsor,arnowitz,BB 88
BB 138 Stop site at Macklind and Finkman,Primary,arnowitz,BB 138
BB 201 Ordinance pertaining to the Preservation Board,Co-Sponsor,arnowitz,BB 201
BB 216 Supplemental budget appropriation,Co-Sponsor,arnowitz,BB 216
BB 224 Transfer of property of the Police Department,Co-Sponsor,arnowitz,BB 224
BB 2 Ordinance establishing bond oversight committee,Co-Sponsor,arnowitz,BB 2
"BB 66 adoption of a policy supporting the practice of the Trap-Neuter-Returnof feral cats;",Co-Sponsor,arnowitz,BB 66
"BB 66 adoption of a policy supporting the practice of the Trap-Neuter-Returnof feral cats;",Co-Sponsor,arnowitz,BB 66
BB 69 Stop signs at Tesson and Schroeder,Primary,arnowitz,BB 69
BB 141 Grant for Medical Examiner,Primary,arnowitz,BB 141
BB 196 2014 Lead grant bill,Co-Sponsor,arnowitz,BB 196
BB 221 Competitive bidding and composition of workforce,Co-Sponsor,arnowitz,BB 221
BB 256 Redevelopment plan for 5431 Holly Hills,Primary,arnowitz,BB 256
BB 45 Germania Improvements,Primary,arnowitz,BB 45
BB 50 Ord. establishing stop sign at Loughborough & Field,Primary,arnowitz,BB 50
BB 73 Stop site on Stolle at Primm,Primary,arnowitz,BB 73
BB 74 Stop site on Stolle at Tesson,Primary,arnowitz,BB 74
BB 75 Stop site on Loughborough at Macklind,Primary,arnowitz,BB 75
